Time, Operation, Node, Description
04:38:23.294,writeBlock,5,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.606,propose,5,Created block [15] there are 0 blocks in flight channel=mychannel 
04:38:38.687,writeBlock,5,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.188,propose,5,Created block [16] there are 0 blocks in flight channel=mychannel 
04:38:57.281,writeBlock,5,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:33.070,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.151,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.151,createOrReadWAL,6,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.305,Start,6,Starting Raft node channel=mychannel 
04:29:03.308,start,6,Starting raft node as part of a new channel channel=mychannel 
04:29:03.308,becomeFollower,6,6 became follower at term 0 channel=mychannel 
04:29:03.308,newRaft,6,newRaft 6 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.308,becomeFollower,6,6 became follower at term 1 channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.385,Step,6,6 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.402,Step,6,6 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.402,becomeFollower,6,6 became follower at term 2 channel=mychannel 
04:29:04.402,Step,6,6 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,6,raft.node: 6 elected leader 5 at term 2 channel=mychannel 
04:29:04.456,run,6,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.978,writeBlock,6,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.211,writeBlock,6,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.362,writeBlock,6,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.430,writeBlock,6,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.144,writeBlock,6,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.045,writeBlock,6,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.040,writeBlock,6,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.507,writeBlock,6,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.625,writeBlock,6,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.422,writeBlock,6,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.230,writeBlock,6,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.757,writeBlock,6,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.810,writeBlock,6,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.295,writeBlock,6,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.688,writeBlock,6,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.322,writeBlock,6,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:34.912,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.195,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.195,createOrReadWAL,1,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.385,Start,1,Starting Raft node channel=mychannel 
04:29:03.387,start,1,Starting raft node as part of a new channel channel=mychannel 
04:29:03.387,becomeFollower,1,1 became follower at term 0 channel=mychannel 
04:29:03.387,newRaft,1,newRaft 1 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.387,becomeFollower,1,1 became follower at term 1 channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.548,apply,1,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.383,Step,1,1 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.403,Step,1,1 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.403,becomeFollower,1,1 became follower at term 2 channel=mychannel 
04:29:04.403,Step,1,1 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,1,raft.node: 1 elected leader 5 at term 2 channel=mychannel 
04:29:04.466,run,1,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.983,writeBlock,1,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.207,writeBlock,1,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.362,writeBlock,1,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.431,writeBlock,1,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.143,writeBlock,1,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.043,writeBlock,1,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.023,writeBlock,1,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.507,writeBlock,1,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.625,writeBlock,1,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.353,writeBlock,1,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.229,writeBlock,1,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.757,writeBlock,1,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.810,writeBlock,1,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.294,writeBlock,1,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.687,writeBlock,1,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.282,writeBlock,1,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:17.871,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.193,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.193,createOrReadWAL,2,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.380,Start,2,Starting Raft node channel=mychannel 
04:29:03.381,start,2,Starting raft node as part of a new channel channel=mychannel 
04:29:03.381,becomeFollower,2,2 became follower at term 0 channel=mychannel 
04:29:03.381,newRaft,2,newRaft 2 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.381,becomeFollower,2,2 became follower at term 1 channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.383,Step,2,2 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.403,Step,2,2 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.403,becomeFollower,2,2 became follower at term 2 channel=mychannel 
04:29:04.403,Step,2,2 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,2,raft.node: 2 elected leader 5 at term 2 channel=mychannel 
04:29:04.466,run,2,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.983,writeBlock,2,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.203,writeBlock,2,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.362,writeBlock,2,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.431,writeBlock,2,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.143,writeBlock,2,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.044,writeBlock,2,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.022,writeBlock,2,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.508,writeBlock,2,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.626,writeBlock,2,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.394,writeBlock,2,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.230,writeBlock,2,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.757,writeBlock,2,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.843,writeBlock,2,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.294,writeBlock,2,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.688,writeBlock,2,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.282,writeBlock,2,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:19.317,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.194,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.194,createOrReadWAL,3,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.381,Start,3,Starting Raft node channel=mychannel 
04:29:03.385,start,3,Starting raft node as part of a new channel channel=mychannel 
04:29:03.385,becomeFollower,3,3 became follower at term 0 channel=mychannel 
04:29:03.385,newRaft,3,newRaft 3 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.385,becomeFollower,3,3 became follower at term 1 channel=mychannel 
04:29:03.523,apply,3,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.523,apply,3,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.523,apply,3,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.523,apply,3,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.523,apply,3,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.523,apply,3,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.384,Step,3,3 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.402,Step,3,3 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.402,becomeFollower,3,3 became follower at term 2 channel=mychannel 
04:29:04.402,Step,3,3 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,3,raft.node: 3 elected leader 5 at term 2 channel=mychannel 
04:29:04.466,run,3,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.979,writeBlock,3,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.207,writeBlock,3,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.363,writeBlock,3,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.430,writeBlock,3,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.145,writeBlock,3,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.043,writeBlock,3,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.070,writeBlock,3,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.508,writeBlock,3,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.625,writeBlock,3,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.354,writeBlock,3,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.229,writeBlock,3,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.772,writeBlock,3,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.811,writeBlock,3,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.295,writeBlock,3,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.688,writeBlock,3,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.281,writeBlock,3,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:29.872,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.151,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.151,createOrReadWAL,4,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.307,Start,4,Starting Raft node channel=mychannel 
04:29:03.308,start,4,Starting raft node as part of a new channel channel=mychannel 
04:29:03.309,becomeFollower,4,4 became follower at term 0 channel=mychannel 
04:29:03.309,newRaft,4,newRaft 4 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.309,becomeFollower,4,4 became follower at term 1 channel=mychannel 
04:29:03.379,apply,4,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,4,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,4,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.384,apply,4,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.384,apply,4,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.384,apply,4,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.384,Step,4,4 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.402,Step,4,4 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.402,becomeFollower,4,4 became follower at term 2 channel=mychannel 
04:29:04.402,Step,4,4 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,4,raft.node: 4 elected leader 5 at term 2 channel=mychannel 
04:29:04.466,run,4,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.987,writeBlock,4,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.207,writeBlock,4,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.362,writeBlock,4,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.432,writeBlock,4,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.143,writeBlock,4,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.044,writeBlock,4,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.022,writeBlock,4,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.506,writeBlock,4,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.627,writeBlock,4,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.355,writeBlock,4,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.230,writeBlock,4,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.758,writeBlock,4,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.811,writeBlock,4,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.310,writeBlock,4,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.688,writeBlock,4,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.323,writeBlock,4,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:23.541,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.193,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.193,createOrReadWAL,5,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.380,Start,5,Starting Raft node channel=mychannel 
04:29:03.381,start,5,Starting raft node as part of a new channel channel=mychannel 
04:29:03.381,becomeFollower,5,5 became follower at term 0 channel=mychannel 
04:29:03.381,newRaft,5,newRaft 5 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.381,becomeFollower,5,5 became follower at term 1 channel=mychannel 
04:29:03.382,run,5,This node is picked to start campaign channel=mychannel 
04:29:03.463,apply,5,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,5,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,5,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,5,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,5,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.463,apply,5,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.382,Step,5,5 is starting a new election at term 1 channel=mychannel 
04:29:04.382,becomePreCandidate,5,5 became pre-candidate at term 1 channel=mychannel 
04:29:04.382,poll,5,5 received MsgPreVoteResp from 5 at term 1 channel=mychannel 
04:29:04.382,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 1 at term 1 channel=mychannel 
04:29:04.382,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 2 at term 1 channel=mychannel 
04:29:04.382,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 3 at term 1 channel=mychannel 
04:29:04.382,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 4 at term 1 channel=mychannel 
04:29:04.382,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 6 at term 1 channel=mychannel 
04:29:04.384,poll,5,5 received MsgPreVoteResp from 2 at term 1 channel=mychannel 
04:29:04.384,stepCandidate,5,5 [quorum:4] has received 2 MsgPreVoteResp votes and 0 vote rejections channel=mychannel 
04:29:04.384,poll,5,5 received MsgPreVoteResp from 1 at term 1 channel=mychannel 
04:29:04.384,stepCandidate,5,5 [quorum:4] has received 3 MsgPreVoteResp votes and 0 vote rejections channel=mychannel 
04:29:04.384,poll,5,5 received MsgPreVoteResp from 4 at term 1 channel=mychannel 
04:29:04.384,stepCandidate,5,5 [quorum:4] has received 4 MsgPreVoteResp votes and 0 vote rejections channel=mychannel 
04:29:04.384,becomeCandidate,5,5 became candidate at term 2 channel=mychannel 
04:29:04.385,poll,5,5 received MsgVoteResp from 5 at term 2 channel=mychannel 
04:29:04.385,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 6 at term 2 channel=mychannel 
04:29:04.385,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 1 at term 2 channel=mychannel 
04:29:04.385,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 2 at term 2 channel=mychannel 
04:29:04.385,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 3 at term 2 channel=mychannel 
04:29:04.385,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 4 at term 2 channel=mychannel 
04:29:04.420,poll,5,5 received MsgVoteResp from 4 at term 2 channel=mychannel 
04:29:04.420,stepCandidate,5,5 [quorum:4] has received 2 MsgVoteResp votes and 0 vote rejections channel=mychannel 
04:29:04.429,poll,5,5 received MsgVoteResp from 1 at term 2 channel=mychannel 
04:29:04.429,stepCandidate,5,5 [quorum:4] has received 3 MsgVoteResp votes and 0 vote rejections channel=mychannel 
04:29:04.429,poll,5,5 received MsgVoteResp from 2 at term 2 channel=mychannel 
04:29:04.429,stepCandidate,5,5 [quorum:4] has received 4 MsgVoteResp votes and 0 vote rejections channel=mychannel 
04:29:04.430,becomeLeader,5,5 became leader at term 2 channel=mychannel 
04:29:04.430,run,5,raft.node: 5 elected leader 5 at term 2 channel=mychannel 
04:29:04.435,run,5,Leader 5 is present quit campaign channel=mychannel 
04:29:04.435,run,5,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:04.467,run,5,Start accepting requests as Raft leader at block [0] channel=mychannel 
04:29:22.850,propose,5,Created block [1] there are 0 blocks in flight channel=mychannel 
04:29:22.850,run,5,Received config transaction pause accepting transaction till it is committed channel=mychannel 
04:29:22.978,writeBlock,5,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.044,propose,5,Created block [2] there are 0 blocks in flight channel=mychannel 
04:29:26.044,run,5,Received config transaction pause accepting transaction till it is committed channel=mychannel 
04:29:26.192,writeBlock,5,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.271,propose,5,Created block [3] there are 0 blocks in flight channel=mychannel 
04:31:05.361,writeBlock,5,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.333,propose,5,Created block [4] there are 0 blocks in flight channel=mychannel 
04:32:40.429,writeBlock,5,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.054,propose,5,Created block [5] there are 0 blocks in flight channel=mychannel 
04:32:45.142,writeBlock,5,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:56.964,propose,5,Created block [6] there are 0 blocks in flight channel=mychannel 
04:32:57.043,writeBlock,5,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:07.921,propose,5,Created block [7] there are 0 blocks in flight channel=mychannel 
04:36:08.021,writeBlock,5,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.424,propose,5,Created block [8] there are 0 blocks in flight channel=mychannel 
04:36:25.506,writeBlock,5,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.540,propose,5,Created block [9] there are 0 blocks in flight channel=mychannel 
04:36:41.624,writeBlock,5,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.267,propose,5,Created block [10] there are 0 blocks in flight channel=mychannel 
04:37:04.352,writeBlock,5,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.139,propose,5,Created block [11] there are 0 blocks in flight channel=mychannel 
04:37:21.229,writeBlock,5,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.658,propose,5,Created block [12] there are 0 blocks in flight channel=mychannel 
04:37:43.756,writeBlock,5,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.702,propose,5,Created block [13] there are 0 blocks in flight channel=mychannel 
04:38:06.810,writeBlock,5,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.214,propose,5,Created block [14] there are 0 blocks in flight channel=mychannel 
04:38:23.294,writeBlock,5,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.606,propose,5,Created block [15] there are 0 blocks in flight channel=mychannel 
04:38:38.687,writeBlock,5,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.188,propose,5,Created block [16] there are 0 blocks in flight channel=mychannel 
04:38:57.281,writeBlock,5,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:33.070,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.151,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.151,createOrReadWAL,6,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.305,Start,6,Starting Raft node channel=mychannel 
04:29:03.308,start,6,Starting raft node as part of a new channel channel=mychannel 
04:29:03.308,becomeFollower,6,6 became follower at term 0 channel=mychannel 
04:29:03.308,newRaft,6,newRaft 6 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.308,becomeFollower,6,6 became follower at term 1 channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.379,apply,6,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.385,Step,6,6 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.402,Step,6,6 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.402,becomeFollower,6,6 became follower at term 2 channel=mychannel 
04:29:04.402,Step,6,6 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,6,raft.node: 6 elected leader 5 at term 2 channel=mychannel 
04:29:04.456,run,6,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.978,writeBlock,6,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.211,writeBlock,6,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.362,writeBlock,6,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.430,writeBlock,6,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.144,writeBlock,6,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.045,writeBlock,6,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.040,writeBlock,6,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.507,writeBlock,6,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.625,writeBlock,6,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.422,writeBlock,6,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.230,writeBlock,6,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.757,writeBlock,6,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
